City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Neiafu,TO,77.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Namie,JP,61.99,overcast clouds,37.4833,141.0,いこいの村なみえ
Bambous Virieux,MU,71.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
Tautira,PF,77.4,light rain,-17.7333,-149.15,Pension Oaoa
Sao Joao Da Barra,BR,78.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
Rikitea,PF,73.99,clear sky,-23.1203,-134.9692,People ThankYou
Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
East London,ZA,67.86,few clouds,-33.0153,27.9116,Tu Casa
Manado,ID,72.37,few clouds,1.487,124.8455,Aryaduta Hotel
Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
Petauke,ZM,76.62,clear sky,-14.2426,31.3253,Kwamwanja Wanthu
Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
Acari,PE,76.59,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
Nabire,ID,74.89,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
Itai,BR,77.36,broken clouds,-23.4178,-49.0906,Hotel Triângulo
Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Port Lincoln,AU,60.51,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
Chuy,UY,66.87,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
Shimoda,JP,67.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
Chase,CA,65.28,clear sky,50.8165,-119.6857,Chase Country Inn Motel
Kerman,IR,71.46,clear sky,30.2832,57.0788,هتل آپارتمان آسام
Dengzhou,CN,66.33,broken clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
Le Port,RE,69.76,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
Kieta,PG,78.13,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
Gladstone,AU,62.53,broken clouds,-23.85,151.25,Highpoint International Hotel
Jamestown,US,61.52,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
La Ronge,CA,71.85,few clouds,55.1001,-105.2842,Northland Motor Hotel
Coquimbo,CL,60.53,scattered clouds,-29.9533,-71.3436,Hotel San Juan
Port Elizabeth,ZA,65.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
Ilo,PE,64.53,clear sky,-17.6394,-71.3375,Torreblanca Hotel
Karratha,AU,72.79,broken clouds,-20.7377,116.8463,ibis Styles Karratha
San Quintin,MX,71.94,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
Waingapu,ID,79.2,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
Yulara,AU,64.69,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Eldorado,BR,77.52,few clouds,-23.7869,-54.2836,Villa Verde Hotel
Sao Filipe,CV,78.15,overcast clouds,14.8961,-24.4956,Hotel Xaguate
Cape Town,ZA,61.88,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
Arraial Do Cabo,BR,73.36,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
Asilah,MA,73.36,clear sky,35.465,-6.0348,Hotel Zelis
Oak Ridge,US,64.29,overcast clouds,36.0104,-84.2696,DoubleTree by Hilton Hotel Oak Ridge - Knoxville
Lompoc,US,71.78,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Tura,IN,73.62,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
Dumai,ID,73.38,overcast clouds,1.6833,101.45,Grand Zuri Dumai
Juba,SS,76.44,few clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
Castro,BR,71.51,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
Carnarvon,AU,66.33,clear sky,-24.8667,113.6333,Hospitality Carnarvon
Cidreira,BR,64.71,broken clouds,-30.1811,-50.2056,Hotel Castelo
Bengkulu,ID,74.8,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Piacabucu,BR,78.73,clear sky,-10.4056,-36.4344,Piaçabuçu News
Katsuura,JP,71.38,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
Zarand,IR,67.93,clear sky,30.8127,56.564,مهمانسرای فناپ
Kapaa,US,75.09,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Roma,US,65.62,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
Siyabuswa,ZA,79.21,clear sky,-25.1132,29.0445,Confy Inn Guest Rooms
Xuddur,SO,75.85,overcast clouds,4.1213,43.8894,Banjanay Hotel
Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
Sechura,PE,73.85,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
Grand Gaube,MU,72.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
Thompson,CA,69.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
Cotacachi,EC,74.75,overcast clouds,0.3,-78.2667,La Mirage Garden Hotel And Spa
Khasan,RU,61.95,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
Hachinohe,JP,60.71,overcast clouds,40.5,141.5,Hachinohe Grand Hotel
Coihaique,CL,66.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
Atuona,PF,76.59,light rain,-9.8,-139.0333,Villa Enata
Saint Anthony,US,74.66,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
Nara,JP,70.92,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
Maragogi,BR,78.21,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
Broome,US,60.1,broken clouds,42.2506,-75.833,Chenango Valley State Park
Faanui,PF,77.94,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Mogadishu,SO,76.93,broken clouds,2.0371,45.3438,Hotel Juba
Mattru,SL,73.9,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
Dingle,PH,76.6,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
Felanitx,ES,71.01,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
Cabatuan,PH,76.87,overcast clouds,10.8794,122.486,MVC Transient Room
Praia Da Vitoria,PT,71.85,light intensity shower rain,38.7333,-27.0667,Hotel Branco I
Mackay,AU,69.67,light rain,-21.15,149.2,International Lodge Motel
Nsanje,MW,79.23,clear sky,-16.92,35.262,Nsanje Discovery Lodge
Rocha,UY,67.21,clear sky,-34.4833,-54.3333,Hotel Arrarte
Tezu,IN,76.96,overcast clouds,27.9167,96.1667,Circuit House
Niles,US,69.53,few clouds,42.0189,-87.8028,"Holiday Inn & Suites Chicago North Shore (Skokie), an IHG Hotel"
Dubuque,US,72.19,clear sky,42.4833,-90.8668,American Inn and Suites
Balikpapan,ID,77.99,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
Vila,PT,63.48,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
Port Hedland,AU,73.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
Saquarema,BR,73.54,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
Paka,MY,76.93,light rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
Hanna,CA,67.86,clear sky,51.6334,-111.9018,West View Motel
Obera,AR,75.36,clear sky,-27.4871,-55.1199,CABAÑAS DORALIA
Namibe,AO,63.84,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
Rosetta,EG,79.02,clear sky,31.4044,30.4164,Green Valley
Luganville,VU,77.02,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
Tomatlan,MX,74.75,overcast clouds,19.9333,-105.25,El Salvial
